gameID,Time,season,homeGoals,awayGoals,temp,dewPointC,humidity,windSpeedKPH,weather,HTGoalsHome,HTGoalsAway
81,15:45:00,2015,1,0,22.72,12.58,53,5.91,Partly Cloudy,1,0
82,18:00:00,2015,0,1,24.96,14.95,54,6.48,Mostly Sunny,0,0
83,18:00:00,2015,2,2,16.19,14.62,90,9.85,Partly Cloudy,0,1
84,18:00:00,2015,4,2,23.67,13.08,51,11.62,Partly Cloudy,3,0
85,18:00:00,2015,1,3,21.11,8.29,44,21.32,Mostly Sunny,0,1
86,20:30:00,2015,2,2,20.59,12.9,61,11.11,Partly Cloudy,2,1
87,16:30:00,2015,2,2,12.03,10.46,90,5.56,Mostly Cloudy,1,1
88,16:30:00,2015,0,2,16.55,9.63,64,6.3,Partly Cloudy,0,1
89,19:00:00,2015,0,1,12.18,10.27,88,5.56,Rain Showers,0,0
90,23:00:00,2015,0,3,10.33,8.85,91,7.41,Clear,0,2
91,22:45:00,2015,0,1,4.87,1.71,80,18.13,Partly Cloudy,0,1
92,15:45:00,2015,0,3,6.45,4.66,88,12.13,Rain Showers,0,2
93,18:00:00,2015,1,3,6.3,3.78,84,14.82,Partly Cloudy,0,2
94,18:00:00,2015,2,0,7.87,6.79,93,7.9,Rain Showers,1,0
95,18:00:00,2015,2,2,7.37,4,79,8.33,Rain Showers,2,0
96,18:00:00,2015,0,0,6.73,5.1,89,8.98,Rain Showers,0,0
97,18:00:00,2015,1,2,7.81,3.96,77,8.33,Rain Showers,0,2
98,16:30:00,2015,1,2,12.34,4.47,59,8.16,Isolated Showers,1,1
99,19:00:00,2015,3,0,11.75,4.1,59,9.26,Rain Showers,1,0
100,23:00:00,2015,1,0,18.66,11.9,65,10.19,Mostly Cloudy,1,0
101,15:45:00,2015,0,0,15,7.47,61,5.56,Rain Showers,0,0
102,18:00:00,2015,1,1,13.52,10.25,81,9.11,Rain Showers,1,1
103,18:00:00,2015,1,1,11.93,9.68,86,11.11,Rain Showers,0,1
104,18:00:00,2015,2,1,13.84,9.38,75,5.56,Partly Cloudy,0,0
105,18:00:00,2015,1,1,11.15,8.54,84,5.56,Mostly Cloudy,0,0
106,18:00:00,2015,3,4,15.02,9.63,70,6.48,Sunny,0,2
107,16:30:00,2015,2,3,3.87,2.43,90,14.82,Isolated Showers,1,3
108,19:00:00,2015,0,2,3.27,2.68,96,13.89,Scattered Showers,0,0
109,19:00:00,2015,0,0,4.42,2.02,84,9.26,Isolated Showers,0,0
110,23:00:00,2015,0,0,12.64,11.46,93,5.56,Rain Showers,0,0
111,15:45:00,2015,0,1,9.13,2.83,65,28.67,Mostly Cloudy,0,0
112,18:00:00,2015,0,1,11.27,4.3,62,16.67,Partly Cloudy,0,1
113,18:00:00,2015,2,2,10.87,2.67,57,18.24,Mostly Cloudy,2,1
114,18:00:00,2015,1,1,13.77,4.16,52,9.26,Mostly Cloudy,1,0
115,18:00:00,2015,1,2,11.43,6.63,72,10.26,Cloudy,0,0
116,18:00:00,2015,0,3,16.17,4.63,46,7.44,Mostly Sunny,0,2
117,18:00:00,2015,2,0,13.04,3.27,52,9.26,Mostly Cloudy,0,0
118,20:30:00,2015,0,0,9.09,6.22,82,11.64,Rain Showers,0,0
119,16:30:00,2015,3,0,15.15,13.35,89,11.48,Isolated Showers,1,0
120,19:00:00,2015,2,1,14.87,13.59,92,12.92,Mostly Cloudy,0,0
121,15:45:00,2015,3,1,11.59,5.73,67,17.12,Rain Showers,2,1
122,18:00:00,2015,2,0,10.26,7.15,81,8.33,Mostly Clear,1,0
123,18:00:00,2015,0,1,8.97,5.45,79,9.65,Mostly Clear,0,0
124,18:00:00,2015,1,0,9.51,6.47,81,11.38,Mostly Cloudy,0,0
125,18:00:00,2015,0,0,8.42,6.05,85,12.18,Rain Showers,0,0
126,18:00:00,2015,3,1,7.95,6,88,22.07,Mostly Clear,1,0
127,20:30:00,2015,3,1,11.79,7.89,77,23.51,Rain Showers,0,0
128,16:30:00,2015,0,1,5.76,5.03,95,20.37,Cloudy,0,0
129,19:00:00,2015,3,2,8.34,8.14,99,23.06,Scattered Showers,0,1
130,23:00:00,2015,2,0,4.99,2.42,83,12.04,Rain Showers,1,0
131,15:45:00,2015,2,0,21.43,15.47,69,12.96,Mostly Cloudy,0,0
132,18:00:00,2015,1,2,19.67,16.1,80,21.45,Isolated Showers,0,2
133,18:00:00,2015,0,1,21.36,16.97,76,20.41,Rain Showers,0,1
134,18:00:00,2015,2,0,20.04,14.08,69,12.04,Rain Showers,2,0
135,18:00:00,2015,2,2,19.4,18.66,95,12.04,Rain Showers,2,0
136,18:00:00,2015,0,0,18.01,16.97,94,17.48,Rain Showers,0,0
137,20:30:00,2015,1,2,19.43,16.39,83,12.59,Rain Showers,1,2
138,16:30:00,2015,1,0,18.97,7.56,48,8.33,Rain Showers,0,0
139,19:00:00,2015,2,3,18.52,5.8,43,8.33,Mostly Sunny,1,1
140,19:00:00,2015,1,1,14.9,10.05,73,19,Partly Cloudy,0,0
141,15:45:00,2015,4,1,2.04,0.33,88,7.41,Snow Showers,1,1
142,18:00:00,2015,3,1,1.66,-1.63,79,12.04,Rain Showers,1,0
143,18:00:00,2015,2,1,1.16,-0.27,90,11.11,Snow Showers,1,0
144,18:00:00,2015,2,5,0.47,-1.68,85,12.72,Snow Showers,1,2
145,18:00:00,2015,3,2,2.34,-7.2,49,8.72,Mostly Cloudy,1,0
146,18:00:00,2015,3,0,1.78,-1.94,76,12.96,Cloudy,1,0
147,18:00:00,2015,2,2,1.71,0.52,92,8.33,Snow Showers,1,1
148,20:30:00,2015,2,2,2.23,-1.81,75,15,Snow Showers,1,0
149,19:00:00,2015,0,1,10.06,4.44,68,9.26,Mostly Clear,0,0
150,23:00:00,2015,2,3,9.63,7.15,85,7.41,Mostly Clear,1,0
151,15:45:00,2015,2,0,11.43,-0.94,42,4.45,Sunny,0,0
152,18:00:00,2015,0,1,7.04,-0.95,57,2.78,Mostly Sunny,0,0
153,18:00:00,2015,1,1,7.17,4.03,80,3.7,Mostly Sunny,1,1
154,18:00:00,2015,6,1,8.44,0.65,58,5.56,Sunny,1,1
155,18:00:00,2015,1,2,6.73,-1.16,57,6.83,Mostly Clear,0,1
156,18:00:00,2015,2,2,6.54,2.17,74,9.26,Mostly Clear,2,1
157,20:30:00,2015,1,3,5.43,1.41,75,9.26,Mostly Clear,1,1
158,16:30:00,2015,1,1,17.46,9.15,58,19.25,Mostly Sunny,1,1
159,19:00:00,2015,2,2,10.85,8.76,87,18.52,Rain Showers,2,1
160,19:00:00,2015,3,0,18.29,3.06,36,5.56,Mostly Sunny,3,0
161,15:45:00,2015,0,0,16.27,14.93,92,8.33,Isolated Showers,0,0
162,18:00:00,2015,2,2,19.57,13.13,66,5.56,Rain Showers,2,0
163,18:00:00,2015,1,0,15.22,14.7,97,11.11,Rain Showers,0,0
164,18:00:00,2015,2,0,15.75,13.9,89,6.48,Rain Showers,1,0
165,18:00:00,2015,1,3,15.57,14.4,93,6.48,Rain Showers,1,1
166,18:00:00,2015,0,3,15.45,9.45,67,11.59,Isolated Showers,0,2
167,18:00:00,2015,5,1,15.89,12.93,83,10.56,Isolated Showers,4,1
168,20:30:00,2015,0,3,15.69,15,96,5.56,Rain Showers,0,0
169,19:00:00,2015,6,2,11.22,9.24,88,11.02,Rain Showers,3,2
170,23:00:00,2015,0,1,15.67,15.18,97,20.38,Rain Showers,0,1
171,18:00:00,2015,1,2,9.42,9.08,98,8.33,Scattered Showers,0,0
172,18:00:00,2015,1,0,8.73,8.22,97,11.11,Scattered Showers,0,0
173,18:00:00,2015,2,1,12.2,11,92,14.82,Isolated Showers,1,0
174,18:00:00,2015,0,1,11.11,11.11,100,6.93,Scattered Showers,0,0
175,18:00:00,2015,0,2,8.91,7.97,94,7.41,Isolated Showers,0,1
176,20:30:00,2015,2,1,10.74,9.59,93,12.04,Scattered Showers,2,1
177,16:00:00,2015,3,0,8.16,6.32,88,12.96,Partly Cloudy,1,0
178,18:05:00,2015,1,5,9.33,6.13,80,10.19,Rain Showers,1,3
179,18:05:00,2015,0,0,9.42,8.22,92,12.04,Rain Showers,0,0
180,20:15:00,2015,1,1,8.91,0.32,55,12.46,Mostly Cloudy,0,0
181,16:45:00,2015,1,3,12.8787619,7.316987013,71.96796537,9.863056277,NULL,1,1
182,19:00:00,2015,0,0,12.8787619,7.316987013,71.96796537,9.863056277,NULL,0,0
183,19:00:00,2015,2,1,12.8787619,7.316987013,71.96796537,9.863056277,NULL,0,0
184,19:00:00,2015,0,0,12.8787619,7.316987013,71.96796537,9.863056277,NULL,0,0
185,19:00:00,2015,0,3,12.8787619,7.316987013,71.96796537,9.863056277,NULL,0,0
186,19:00:00,2015,2,0,12.8787619,7.316987013,71.96796537,9.863056277,NULL,1,0
187,19:00:00,2015,2,3,12.8787619,7.316987013,71.96796537,9.863056277,NULL,1,0
188,17:30:00,2015,6,2,7.71,6.29,91,12.96,Partly Cloudy,2,1
189,20:00:00,2015,2,0,7.77,2.88,71,18.52,Rain Showers,2,0
190,00:00:00,2015,3,1,5.08,1.63,78,4.23,Mostly Cloudy,2,0
191,16:45:00,2015,0,1,21.83,15.47,67,12.96,Partly Cloudy,0,1
192,19:00:00,2015,2,1,18.35,12.56,69,5.56,Rain Showers,0,0
193,19:00:00,2015,2,0,15.7,12.66,82,17.23,Rain Showers,0,0
194,19:00:00,2015,1,0,23.16,11.19,47,10.9,Rain Showers,0,0
195,19:00:00,2015,1,1,23.32,10.02,43,6.48,Mostly Cloudy,1,1
196,19:00:00,2015,0,1,17.52,11.75,69,9.26,Cloudy,0,0
197,21:30:00,2015,1,0,14.88,14.42,97,14.82,Rain Showers,0,0
198,17:30:00,2015,0,0,19.87,9.18,50,6.08,Mostly Sunny,0,0
199,20:00:00,2015,1,1,18.62,14.12,75,1.85,Rain Showers,0,1
200,20:00:00,2015,1,2,15.65,14.59,93,9.5,Mostly Sunny,1,1
201,16:45:00,2015,1,2,21.71,10.41,49,9.26,Sunny,0,1
202,19:00:00,2015,2,2,17.56,12.24,71,11.45,Mostly Sunny,2,2
203,19:00:00,2015,0,1,16.05,8.44,61,7.41,Sunny,0,1
204,19:00:00,2015,2,1,15.91,11.62,76,8.66,Mostly Sunny,2,1
205,19:00:00,2015,0,3,16.22,8.24,59,13.15,Mostly Sunny,0,1
206,19:00:00,2015,4,0,17.76,10.6,63,10.99,Mostly Sunny,3,0
207,19:00:00,2015,1,0,16.66,9.04,61,5.56,Sunny,0,0
208,21:30:00,2015,1,4,14.53,10.06,75,14.82,Partly Cloudy,1,3
209,20:00:00,2015,4,1,11.41,7.92,79,7.41,Clear,2,0
210,00:00:00,2015,0,1,8.39,5.87,84,15.33,Mostly Clear,0,0
211,19:00:00,2015,2,0,10.66,6.42,75,10.19,Partly Cloudy,0,0
212,19:00:00,2015,2,3,13.09,4.2,55,16.67,Mostly Sunny,1,1
213,19:00:00,2015,3,3,12.21,5.43,63,12.04,Mostly Sunny,0,2
214,19:00:00,2015,5,1,13.94,5.71,58,7.43,Partly Cloudy,3,1
215,19:00:00,2015,3,1,12.33,4.45,59,17.96,Mostly Sunny,2,0
216,21:30:00,2015,1,1,7.52,3.79,77,8.33,Partly Cloudy,1,1
217,16:00:00,2015,0,0,19.01,8.7,51,22.22,Mostly Sunny,0,0
218,18:05:00,2015,1,1,18.87,8.81,52,14.57,Mostly Sunny,1,0
219,20:15:00,2015,1,0,18.16,7.83,51,9.69,Mostly Sunny,0,0
220,20:15:00,2015,1,1,11.75,8.03,78,11.43,Mostly Sunny,1,1
221,16:45:00,2015,2,0,12.95,2.96,51,31.03,Partly Cloudy,2,0
222,19:00:00,2015,0,3,12.29,7.01,70,16.34,Sunny,0,2
223,19:00:00,2015,2,0,16.17,4.56,46,10,Sunny,1,0
224,19:00:00,2015,1,1,13.85,6.19,60,9.26,Sunny,1,1
225,19:00:00,2015,3,1,16.7,0.17,33,6.48,Sunny,1,1
226,19:00:00,2015,0,0,13.46,7.06,65,22.22,Partly Cloudy,0,0
227,19:00:00,2015,1,1,16.37,4.81,46,12.96,Sunny,0,1
228,21:30:00,2015,0,1,11.17,4.18,62,11.11,Clear,0,0
229,20:00:00,2015,2,0,13.96,6.48,61,9.85,Mostly Sunny,0,0
230,00:00:00,2015,1,1,15.04,14.6,97,9.06,Clear,0,0
231,16:45:00,2015,1,1,12.26,9.02,81,40.7,Isolated Showers,0,1
232,19:00:00,2015,2,1,4.86,3.92,94,10.57,Rain Showers,1,0
233,19:00:00,2015,0,1,3.89,3.11,95,10.19,Rain Showers,0,1
234,19:00:00,2015,1,0,12.49,8.5,77,17.59,Rain Showers,1,0
235,19:00:00,2015,0,0,13.3,9.8,79,17.59,Rain Showers,0,0
236,21:30:00,2015,2,1,12.2,9.2,82,18.67,Rain Showers,1,1
237,17:30:00,2015,0,2,4.87,3.31,90,27.22,Isolated Showers,0,2
238,20:00:00,2015,2,2,5.25,3.2,87,14.82,Isolated Showers,1,1
239,20:00:00,2015,1,2,5.82,3.58,85,14.82,Mostly Cloudy,1,0
240,00:00:00,2015,2,1,3.55,1.57,87,7.13,Cloudy,1,0
241,19:00:00,2015,1,2,13.47,10.85,84,11.11,Partly Cloudy,0,0
242,19:00:00,2015,0,2,17.19,7.62,53,9.26,Isolated Showers,0,2
243,19:00:00,2015,1,2,14.12,10.27,78,9.15,Partly Cloudy,0,1
244,19:00:00,2015,3,1,15.78,13.49,86,11.11,Isolated Showers,2,0
244,19:00:00,2015,3,1,15.78,13.49,86,11.11,Isolated Showers,2,0
245,19:00:00,2015,2,3,16.08,7.68,57,11.69,Mostly Sunny,1,1
246,19:00:00,2015,1,2,15.63,10.42,71,6.48,Mostly Sunny,0,1
247,21:30:00,2015,1,1,12.18,9.43,83,9.85,Mostly Clear,1,0
248,17:30:00,2015,3,0,25.08,13.52,49,14.82,Sunny,2,0
249,20:00:00,2015,0,0,17.37,14.89,85,10.23,Rain Showers,0,0
250,00:00:00,2015,2,1,10.61,7.38,80,3.7,Rain Showers,2,0
251,16:45:00,2015,2,0,2.3,1.97,98,16.12,Snow Showers,2,0
252,19:00:00,2015,1,0,3.5,0.36,80,20.37,Mostly Clear,1,0
253,19:00:00,2015,3,0,4.69,3.55,92,13.89,Rain Showers,2,0
254,19:00:00,2015,1,1,2.75,1.72,93,21.21,Snow Showers,0,1
255,19:00:00,2015,0,0,4.44,-0.32,71,19.45,Rain Showers,0,0
256,19:00:00,2015,2,2,4.36,3.32,93,13.89,Rain Showers,1,1
257,19:00:00,2015,1,0,3.47,-4.3,57,14.88,Rain Showers,0,0
258,19:00:00,2015,4,1,3.39,1.54,88,14.82,Snow Showers,3,0
259,21:30:00,2015,0,1,4.19,3.09,93,26.3,Rain Showers,0,0
260,23:45:00,2015,4,0,2.18,-0.55,82,9.01,Snow Showers,1,0
261,19:00:00,2015,1,0,9.68,8.32,91,7.41,Rain Showers,0,0
262,19:00:00,2015,1,2,14.4,8.21,66,14.82,Mostly Cloudy,1,1
263,19:00:00,2015,2,0,12.99,7.01,67,21.9,Rain Showers,1,0
264,19:00:00,2015,0,0,13.84,6.39,61,5.56,Mostly Cloudy,0,0
265,19:00:00,2015,3,4,9.9,-0.43,49,12.79,Partly Cloudy,1,2
266,21:30:00,2015,2,0,12.39,7.06,70,11.5,Rain Showers,1,0
267,21:30:00,2015,0,0,5.59,4.07,90,18.52,Mostly Clear,0,0
268,21:30:00,2015,2,1,12.84,7.01,68,10.99,Rain Showers,0,1
269,23:45:00,2015,0,0,9.45,7.49,88,5.56,Partly Cloudy,0,0
270,23:45:00,2015,0,1,13.7,10.6,82,12.04,Partly Cloudy,0,0
271,16:45:00,2015,2,0,13.91,8.89,72,16.67,Rain Showers,1,0
272,19:00:00,2015,2,1,8.77,3.96,72,14.82,Mostly Cloudy,0,0
273,19:00:00,2015,1,0,12.68,7.05,69,13.89,Partly Cloudy,0,0
274,19:00:00,2015,0,0,8.72,3.81,71,40.04,Partly Cloudy,0,0
275,19:00:00,2015,2,1,10.23,4.41,67,28.48,Cloudy,0,0
276,19:00:00,2015,1,0,11.28,5.48,67,41.11,Mostly Clear,0,0
277,19:00:00,2015,3,1,7.72,2.07,67,24.08,Partly Cloudy,1,0
278,21:30:00,2015,1,2,10,5.23,72,16.67,Mostly Clear,0,0
279,17:30:00,2015,0,3,10.78,7.07,78,12.96,Rain Showers,0,1
280,20:00:00,2015,1,1,8.24,3.79,74,17.72,Isolated Showers,1,1
281,23:45:00,2015,3,3,7.12,6.93,99,28.27,Mostly Clear,1,2
282,23:45:00,2015,1,0,-0.15,-0.23,99,3.7,Mostly Clear,0,0
283,23:45:00,2015,1,3,-2.23,-5.02,81,3.7,Mostly Clear,1,0
284,23:45:00,2015,2,0,5.57,4.78,95,8.33,Rain Showers,1,0
285,23:45:00,2015,3,1,7.71,6.01,89,18.52,Rain Showers,0,0
286,23:45:00,2015,2,4,8.61,8.42,99,11.11,Rain Showers,2,1
287,23:45:00,2015,2,2,5.9,4.37,90,9.26,Rain Showers,1,1
288,23:45:00,2015,0,0,8.38,6.34,87,11.11,Rain Showers,0,0
289,00:00:00,2015,3,3,8.32,3.04,69,9.26,Isolated Showers,2,2
290,00:00:00,2015,0,1,7.88,7.34,96,8.33,Rain Showers,0,0
291,16:45:00,2015,4,1,14.68,6.48,58,6.62,Mostly Sunny,1,1
292,19:00:00,2015,4,0,11.73,7.51,75,8.98,Mostly Cloudy,2,0
293,19:00:00,2015,2,1,10.72,7.71,82,9.26,Mostly Sunny,2,0
294,19:00:00,2015,3,0,10.72,7.98,83,11.11,Partly Cloudy,2,0
295,19:00:00,2015,3,3,12.46,8.23,75,4.63,Mostly Sunny,0,0
296,19:00:00,2015,3,0,12.18,8.05,76,5.56,Partly Cloudy,1,0
297,21:30:00,2015,1,1,9.43,6.79,84,13.21,Mostly Clear,0,1
298,18:05:00,2015,0,1,15.87,8.96,64,6.98,Mostly Sunny,0,0
299,20:15:00,2015,0,0,12.05,7.51,74,7.52,Partly Cloudy,0,0
300,00:00:00,2015,1,0,14.36,12.42,88,13.61,Rain Showers,1,0
301,16:45:00,2015,4,5,12.12,7.87,75,14.82,Cloudy,2,1
302,19:00:00,2015,1,3,8.81,6.57,86,9.26,Mostly Cloudy,1,0
303,19:00:00,2015,0,1,7.43,6.76,96,11.11,Mostly Clear,0,0
304,19:00:00,2015,3,0,8.51,7.61,94,9.26,Partly Cloudy,1,0
305,19:00:00,2015,0,0,7.78,6.69,93,9.26,Clear,0,0
306,19:00:00,2015,1,1,11.01,8.61,85,24.08,Partly Cloudy,1,1
307,19:00:00,2015,2,1,8.54,6.62,88,9.26,Mostly Cloudy,0,0
308,21:30:00,2015,2,2,7.09,6.01,93,7.41,Partly Cloudy,1,1
309,17:30:00,2015,1,2,4.46,-3.88,55,7.41,Mostly Clear,1,2
310,20:00:00,2015,0,1,4.37,2.28,86,16.92,Rain Showers,0,1
311,23:45:00,2015,0,0,9.58,4.23,69,13.89,Partly Cloudy,0,0
312,23:45:00,2015,2,0,7.67,-2.14,50,15.56,Partly Cloudy,0,0
313,23:45:00,2015,0,3,10.46,8.72,89,30.64,Partly Cloudy,0,2
